View Results:,Shasta,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,,,,,,,,,,,,,Beginning Page
 Trinity/Clair Engle,,,,,,,,,,,,,,,,,,,,,,,,,,Model Input
Inflow,,200,95,28,14,8,5,12,22,41,55,105,133,,,,,,,,,,,,,Summay
Est. Evap.,,5.1,6.9,7.8,9.8,8.8,6.9,3.3,1.6,1.0,1.8,1.5,2.3,,,,,,,,,,,,,Jan
Total Release,,74.6,159.0,131.6,107.3,123.2,113.7,38.9,39.2,30.0,21.2,18.2,33.3,,,,,,,,,,,,,Feb
River Rel. - cfs,,600,1498,783,450,857,870,373,300,300,300,300,300,,,,,,,,,,,,,Mar
River Rel. - TAF,,35.7,92.1,46.6,27.7,52.7,51.8,22.9,17.8,18.4,18.4,16.7,18.4,,,,,,,,,,,,,Apr
Carr PP,,38.9,66.9,85.0,79.7,70.5,61.9,15.9,21.3,11.6,2.8,1.5,14.9,,,,,,,,,,,,,May
Actual Storage,1844,1964.3,1893.4,1782.0,1678.9,1555.0,1439.3,1409.1,1390.3,1400.3,1432.3,1517.7,1615.1,,,,,,,,,,,,,Jun
Elevation (feet),,2338,2333,2325,2318,2308,2298,2295,2294,2295,2297,2305,2313,,,,,,,,,,,,,July
Area (acres),,13142,13699,13350,12801,12330,11673,11033,10844,10782,10844,10970,11478,,,,,,,,,,,,,Aug
,,,,,,,,,,,,,,,,,,,,,,,,,,Sep
,,,,,,,,,,,,,,,,,,,,,,,,,,Oct
,,,,,,,,,,,,,,,,,,,,,,,,,,Nov
,,,,,,,,,,,,,,,,,,,,,,,,,,Dec
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,,,,,,,,,,,,,
Whiskeytown,,,,,,,,,,,,,,,,,,,,,,,,,,
Inflow,,16,8,4,2,1,1,3,6,13,20,30,28,,,,,,,,,,,,,
Est. Evap.,,1.1,1.6,1.9,2.5,2.3,1.9,1.0,0.4,0.3,0.5,0.4,0.6,,,,,,,,,,,,,
Total Release,,23.0,73.3,87.1,79.2,69.2,68.9,42.3,26.9,24.3,22.3,31.1,42.3,,,,,,,,,,,,,
Spring Cr.,,10,60,70,70,60,60,30,15,12,10,20,30,,,,,,,,,,,,,
Storage,207.1,238,238,238,238,238,230,206,206,206,206,206,206,,,,,,,,,,,,,
Elevation (feet),,1209,1209,1209,1209,1209,1207,1199,1199,1199,1199,1199,1199,,,,,,,,,,,,,
Area (acres),,2977,3223,3223,3223,3223,3223,3174,2977,2977,2977,2977,2977,,,,,,,,,,,,,
Clear Creek-cfs,,218,216,288,150,150,150,200,200,200,200,200,200,,,,,,,,,,,,,
Clear Creek-taf,,13.0,13.3,17.1,9.2,9.2,8.9,12.3,11.9,12.3,12.3,11.1,12.3,,,,,,,,,,,,,
CC AFRP,,200,200,200,200,200,150,150,150,150,200,200,200,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,,,,,,,,,,,,,
Shasta,,,,,,,,,,,,,,,,,,,,,,,,,,
Inflow,,550,325,215,170,155,149,220,250,320,390,510,630,,,,,,,,,,,,,
Est. Evap.,,10.3,14.2,15.9,19.7,16.3,12.3,5.8,2.7,1.7,3.2,2.7,4.4,,,,,,,,,,,,,
Total Shasta Release,,287,432,555,729,585,416,339,253,188,190,160,170,,,,,,,,,,,,,
Keswick-cfs,,5000,8000,10500,13000,10500,8000,6000,4500,3250,3250,3250,3250,,,,,,,,,,,,,
Keswick-taf,,297,492,625,799,645,476,369,268,200,200,180,200,,,,,,,,,,,,,
Keswick Target (cfs),,5000,8000,10500,13000,10500,8000,6000,4500,3250,3250,3250,3250,,,,,,,,,,,,,
Storage,3880,4132,4011,3656,3077,2630,2351,2226,2221,2351,2548,2895,3351,,,,,,,,,,,,,
Elevation (feet),,1052,1048,1035,1011,991,977,970,970,977,987,1003,1023,,,,,,,,,,,,,
Area (acres),,26784,27912,27408,25800,22961,20720,19219,18489,18489,19219,20286,22051,,,,,,,,,,,,,
Wilkin's Target (cfs),,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,,,,,,,,,,,,,
Keswick to Wilkins Acc/dep (cfs),,7057,-3004,-4346,-5230,-3468,-888,1000,1250,2200,2023,1549,2477,,,,,,,,,,,,,
Flow@Wilkin's Slough (cfs),,12275,5212,6442,7920,7182,7262,7200,5950,5650,5473,4999,5927,,,,,,,,,,,,,
Sac AFRP,,4500,5500,5500,5500,3250,3250,3250,3250,6000,5500,5500,3750,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,,,,,,,,,,,,,
Oroville,,,,,,,,,,,,,,,,,,,,,,,,,,
Inflow,,550,208,76,80,90,101,120,120,160,260,350,390,,,,,,,,,,,,,
Est. Evap.,,4.2,5.8,6.5,7.9,6.5,4.8,2.3,1.0,0.6,1.1,1.0,1.7,,,,,,,,,,,,,
Total Releases - TAF,,400,268,296,386,343,239,212,189,155,96,56,61,,,,,,,,,,,,,
Storage ,2093,2239,2173,1946,1632,1373,1230,1136,1066,1070,1233,1526,1853,,,,,,,,,,,,,
Elevation (feet),,804,799,778,745,715,697,684,674,675,697,733,768,,,,,,,,,,,,,
Area (acres),,10915,11444,11219,10372,9146,8114,7538,7118,6810,6825,7538,8720,,,,,,,,,,,,,
Feather Minimum (cfs),,5500,1431,1933,3204,3204,3143,2000,973,960,1000,1000,1000,,,,,,,,,,,,,
Feather - Target (TAF),-cfs,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Actual Feather Release (TAF),-TAF,327,88,115,197,197,187,123,58,59,61,56,61,,,,,,,,,,,,,
Thermolito - Demand TAF,-Deliveries,73,180,181,189,146,52,89,131,96,35,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,,,,,,,,,,,,,
Folsom,,,,,,,,,,,,,,,,,,,,,,,,,,
Inflow,,500,208,112,87,91,78,50,50,60,120,170,250,,,,,,,,,,,,,
Est. Evap.,,4.1,5.1,6.5,7.8,5.9,4.4,2.0,1.0,0.5,0.8,0.7,1.4,,,,,,,,,,,,,
Total Release,,520.0,122.8,188.5,308.8,226.6,117.6,104.6,98.5,99.7,68.9,63.1,73.4,,,,,,,,,,,,,
Pumping (FP),,12.5,12.5,13.75,15,18.6,9.9,10,7.5,6.25,6.25,6.25,6.25,,,,,,,,,,,,,
FS Canal (FSC),,1.8,2.7,3.6,4.5,4.5,3.6,2.4,1.8,1.2,1.2,1.2,1.5,,,,,,,,,,,,,
Nimbus Minimum (cfs),,8500,1750,1250,2000,1500,1750,1500,1500,1500,1000,1000,1000,,,,,,,,,,,,,
Nimbus Minimum (TAF),,505.7,107.6,74.4,122.9,92.2,104.1,92.2,89.2,92.2,61.5,55.5,61.5,,,,,,,,,,,,,
Actual Nimbus Release (TAF),,505.7,107.6,171.2,289.3,203.5,104.1,92.2,89.2,92.2,61.5,55.7,65.6,,,,,,,,,,,,,
Storage,817,793,873,790,560,419,375,318,269,229,279,385,560,,,,,,,,,,,,,
Elevation (feet),,449,456,448,424,406,399,390,381,373,383,401,424,,,,,,,,,,,,,
Area (acres),,10750,10153,11125,10227,8319,7456,6533,6463,5693,4864,5554,7100,,,,,,,,,,,,,
Amer AFRP,,1750,2500,3520,2750,3750,3500,2250,2250,2500,2500,2500,2500,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,,,,,,,,,,,,,
New Melones,,,,,,,,,,,,,,,,,,,,,,,,,,
Inflow,,128,175,151,58,42,38,30,30,30,30,40,70,,,,,,,,,,,,,
Est. Evap.,,4.3,5.6,6.3,8.3,7.5,6.1,3.1,1.5,0.9,1.7,1.4,2.0,,,,,,,,,,,,,
Total Release,,166,200,169,123,98,77,57,17,15,16,15,50,,,,,,,,,,,,,
Tull. Stor.,,62.6,67.0,67.0,67.0,67.0,63.8,57.0,57.0,57.0,57.0,57.0,58.5,,,,,,,,,,,,,
Goodwin - cfs,,1400,1555,940,300,300,300,797,200,200,232,236,200,,,,,,,,,,,,,
Goodwin - TAF,,83,96,56,18,18,18,49,12,12,14,13,12,,,,,,,,,,,,,
OID/SSJID,,70,85,95,85,65,50,10,0,0,0,0,30,,,,,,,,,,,,,
CVP Contractors,,7,15,18,20,15,12,5,5,3,2,2,6,,,,,,,,,,,,,
Storage ,2019,1977,1946,1922,1848,1784,1740,1709,1721,1735,1747,1770,1789,,,,,,,,,,,,,
Elevation (feet),,1050,1047,1045,1038,1032,1028,1025,1026,1027,1028,1031,1033,,,,,,,,,,,,,
Area (acres),,11159,11003,10887,10809,10541,10314,10164,10051,10089,10126,10164,10276,,,,,,,,,,,,,
S. J. above Stan - TAF,,285,184,31,33,28,34,59,62,63,63,70,86,,,,,,,,,,,,,
S. J. @ VNS. - cfs,,6195,4556,1461,837,755,872,1757,1242,1225,1257,1497,1599,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,,,,,,,,,,,,,
 SAN LUIS/O'NEILL,,,,,,,,,,,,,,,,,,,,,,,,,,
F SL P/G.,,-87,-180,-289,-158,-62,77,141,202,150,145,19,-9,,,,,,,,,,,,,
Federal Storage,876,773,574,266,88,8,72,203,396,539,678,692,673,,,,,,,,,,,,,
State SL P/G.,,-46,-84,-105,-62,-21,135,74,-11,117,28,-15,164,,,,,,,,,,,,,
State Storage,898,849,761,652,587,562,694,766,754,871,897,881,"1,044",,,,,,,,,,,,,
Total Storage,"1,774","1,622","1,335",919,675,570,766,969,"1,151","1,409","1,576","1,573","1,717",,,,,,,,,,,,,
Area (acres),,"12,160","11,853","11,164","9,794","8,683","8,142","9,112","9,984","10,622","11,341","11,751","11,751",,,,,,,,,,,,,
Elevation (ft),,510,485,445,418,406,428,450,468,491,506,506,518,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,,,,,,,,,,,,,
DELTA,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Banks,,0,0,0,18,18,18,0,0,0,0,0,0,,,,,,,,,,,,,
Contra Costa,,12.7,12.7,9.8,11.1,12.7,14.0,16.8,18.4,18.3,14.0,14.0,12.7,,,,,,,,,,,,,
Tracy,,93,61,53,225,260,262,270,260,188,190,100,118,,,,,,,,,,,,,
Total Federal Exports,,106,74,63,254,291,294,287,278,206,204,114,131,,,,,,,,,,,,,
State Banks Pumping,,77,31,47,99,138,226,196,83,188,190,133,284,,,,,,,,,,,,,
Total Exports ,,182,105,110,353,429,520,483,361,394,394,247,415,,,,,,,,,,,,,
USBR Monthly COA Account,,0.0,0.0,-20.6,-4.2,-0.3,84.6,23.9,-85.1,0.0,0.0,-21.1,-2.1,,,,,,,,,,,,,
Accumulated COA,,25.0,25.0,4.4,0.2,-0.1,84.5,108.4,23.3,23.3,23.3,2.2,0.2,,,,,,,,,,,,,
Computed Delta Outflow (NDOI),,"1,932",611,470,400,246,179,246,268,398,582,633,701,,,,,,,,,,,,,
Excess Outflow (EO),,"1,254",125,0,0,0,0,0,0,121,213,0,0,,,,,,,,,,,,,
Freeport Flow (FF) cfs,,"30,338","8,993","11,438","15,730","14,275","13,756","11,543","9,930","11,493","13,645","13,593","16,288",,,,,,,,,,,,,
X-channel Gates,,closed,closed,open,open,open,open,open,open,closed,closed,closed,closed,,,,,,,,,,,,,
% Inflow Diverted,,8%,11%,13%,34%,45%,58%,57%,52%,48%,41%,28%,36%,,,,,,,,,,,,,
% Inflow Diverted Std,,35%,35%,35%,65%,65%,65%,65%,65%,65%,65%,45%,35%,,,,,,,,,,,,,
X2 Location (km from GG),,63.9,72.6,77.2,80.2,84.9,88.6,87.7,86.5,83.3,79.3,76.6,75.7,,,,,,,,,,,,,
X2 location Std.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity,,,,,,,,,,,,,,,,,,,,,,,,,,
Whiskeytown,,,,,,,,,,,,,,,,,,,,,,,,,,
Shasta,,,,,,,,,,,,,,,,,,,,,,,,,,
Oroville,,,,,,,,,,,,,,,,,,,,,,,,,,
Folsom,,,,,,,,,,,,,,,,,,,,,,,,,,
New Melones,,,,,,,,,,,,,,,,,,,,,,,,,,
San Luis,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta,,,,,,,,,,,,,,,,,,,,,,,,,,
